,Song,Movie,Singers,Musicians,Lyricists,Lyrics
251,Happy Happy,Blackmail,"Badshah, Aastha Gill",Badshah,Badshah,Winter ka mahina Us par tujh jaisi haseena Bolo phir mera dil Kyun na ho slip baby Aaya jo pasina Tujhe chhoota hai pasina Mera jaane kaisi deri toone Trip trip trip Main uddne lagi hoon high high high Huva tujhse connection jaise free ka wifi Sabko kar diya maine bye bye bye Aa tujhse milke kyun kabhi why why why Main happy happy hoon x (4) Pyar mein kya pad gaya Duniya se main ladd gaya Tujhko tha phansana jaanam Main khud hi phans gaya Ab scene thoda sad hai Little bit yeh bad hai Koyi kisi ka baby Time sab ka dad hai Ek dooje ke pichhe babu Ghoomein round and round hum Phat gaye underwear baby Ho gaye underground hum Faila dekho raita Na koyi sahayata Phir bhi muh pe smile rakh ke Baby gaaye ja Main happy happy hoon x (4) Jab karta aisi baatein tu hifi fi Lage mujhe bada cutiepie pie pie Sachchi muchchi baby no lie lie lie Mujhe nahi pata tell me why why why But main happy happy hoon Main happy happy hoon x (3)
252,Naam Hai Mera,Hate Story 4,Neeti Mohan,Tanishk Bagchi,Shabbir Ahmed,Dil ki chaar deewaron pe Aashiq doobe kinaron pe Phir bhi labon pe Naam hai mera mera x (8) Main hoon tere armanon mein Main hoon tere afsanon mein Main hoon tere khayalon mein Main hi hoon Tere jigar ki khwaahish mein Teri wafaa ki bandish mein Mohabbaton ki ranjish mein Main hi hoon Mit gaye kitne isharon pe Phir bhi labon pe Naam hai mera mera x (8)
253,Sehmi Hai Dhadkan,Daas Dev,Atif Aslam,Vipin Patwa,Dr Sagar,"Khwabon ki duniya mukammal kahan hai Jeene ki khwahish mein marna yahan hai Manzil yehi hai, yehi karwan hai Jeene ki khwahish mein marna yahan hai Sar par uthaya hai kyun aasmaan ko Agar badh hain jaati teri dhadkanein Sehmi hai dhadkan, sihri hai dhadkan Thehri hai dhadkan to kya ho gaya x (2) Purani kitabon ke panne sabhi Gawahi yahan dene aa jayenge Khayalon mein yaadon ke aakar ujale Sabhi daag dil ke mita jayenge Kisko fikar hai tumhari yahan par Agar badh hain jaati teri dhadkanein Sehmi hai dhadkan, sihri hai dhadkan Thehri hai dhadkan to kya ho gaya x (2) Saare ke saare hi vaade yahan Aankhon hi aankhon se beh jayenge Yaadon ke saare hi tukde magar Tujhmein hi baaki se reh jayenge Kis mod par hai tumhari yahan par Agar badh hain jaati teri dhadkanein Sehmi hai dhadkan, sihri hai dhadkan Thehri hai dhadkan to kya ho gaya x (2)"
254,Badnaamiyan,Hate Story 4,Armaan Malik,Baman-Chand,Rashmi Virag,"Zindgaani ke lamhon ko tere naam kar diya Khud ho teri hi khatir badnaam kar diya Badnaamiyan milin, tanhaiyan badhin Badnaamiyan milin, tanhaiyan badhin Main teri aankhon mein Dekhta hoon khud ko Tumko kya dikhta hai Meri nazron mein kaho Dekhte chaahte sunah ko shaam kar diya Khud ho teri hi khatir kurban kar diya Badnaamiyan milin, tanhaiyan badhin Badnaamiyan milin, tanhaiyan badhin Zindgaani ke lamhon ko tere naam kar diya Zindgaani ke lamhon ko tere naam kar diya Khud ho teri hi khatir badnaam kar diya Badnaamiyan milin, tanhaiyan badhin Badnaamiyan milin, tanhaiyan badhin "
255,Nit Khair Manga,Raid,Rahat Fateh Ali Khan,Tanishk Bagchi,Manoj Muntashir,"Ankh meri hans deve jadon tainu takkda Jaan ton vi zyada tu paas mainu lagda Mere khaali hathon ko hai tohfa tu rab da Tere jaisa hor koyi ho hi nai sakda Mere sajdon ko sathi ik dar kaafi Khuda na koyi mainu hor mangda Nit khair manga Oye nit khair manga sohnena main teri Dua na koyi aur mangda Dua na koyi aur mangda Nit khair manga sohnena main teri Dua na koyi aur mangda Dua na koyi aur mangda Bikhra hua tha kaanch ke jaisa Chhu liya toone to main sanwar gaya Umra mein usko ginta nahi main Tere bina jo waqt ghuzar gaya Janchta nahi hai rang hor koyi mainu Jab se main yaara tere rang rangda Nit khair manga Nit khair manga sohnena main teri Dua na koyi aur mangda Dua na koyi aur mangda Nit khair manga sohnena main teri Dua na koyi, dua na koyi aur mangda"
256,Mohabbat Nasha Hai,Hate Story 4,"Neha Kakkar, Tony Kakkar",Tony Kakkar,Kumaar,Ishq mein mila hai Dard umra bhar ka Aasman hai bheega bheega Meri nazar ka Socha nahi tha Jo bhi huva hai Mohabbat nasha hai Ye kaisi sazaa hai Dil ke tadapne ka bhi Apna maza hai x (2) Aakhon ko gila hai jo Palkon pe likha hai wo Teri berukhi se Mujhe aitraz hai Tu jo hai khafa to Aisa jo hua to Dhadkanon se meri Dil naraz hai Tere bina lage mujhe Ishq tanhaiyon se bhara hai Mohabbat nasha hai Ye kaisi sazaa hai Dil ke tadapne ka bhi Apna maza hai Tooti huyi neendon se Kaise jodun sapne Tujhse hoon poochhti Bas yehi baat main x (2) Lamhe teri yaadon ke Leke in baahn mein Leti rahoon karwatein Saari saari raat main Teri wajah se hai ye gham Ya takdeer ki ye khata hai Mohabbat nasha hai Ye kaisi sazaa hai Dil ke tadapne ka bhi Apna maza hai x (2)
257,Hatt Ja Tau,Veerey Ki Wedding,Sunidhi Chauhan,Jaidev Kumar,Dr. Devendra Kafir,"Oh hatt ja tau hat ja Oh hat ja tau hat ja Arre hatt ja re tau paachhe ne Manne talli hokar naachan de Ho mujhe chadh gayi, mujhe chadh gayi Ho mujhe chadh gayi aaj sharrat se Manne talli hokar naachan de Main aaj nahi hoon aape mein Manne talli hokar naachan de Main talli hokar nachungi Manne talli hokar naachan de Chaahe Shakira ko bulwa lo Competition full karwa lo x (2) Maarun thumke, maarun thumke Maarun thumke aaj farrat se Manne talli hokar naachan de Ho mujhe chadh gayi aaj sharrat se Manne talli hokar naachan de Main aaj nahi hoon aape mein Manne talli hokar naachan de Manne talli hokar naachan de Manne talli hokar naachan de Oh hatt ja tau hat ja Talli hokar naachan de"
258,Tum Mere Ho,Hate Story 4,"Jubin Nautiyal, Amrita Singh",Mithoon,Manoj Muntashir,"Itne akele the hum-tum Tum mujhme main tum mein ghum Mere kaanon mein aahista se Us roz kaha tha jo tumne Kisi aur se na woh kehna Tum mere ho mere rehna Tum mere ho mere rehna Tum sath mera hardam dena Tum mere ho mere rehna Donon jahan mein hai ek jagah Jo mujhe badi mehfooz lage Teri baahein yeh bahein yeh teri Bas itni si duniya hai meri Baahon mein ghere rehna Tum mere ho mere rehna x (2) Tum na hote to dard yeh dil ka Hadd se badh jaata Ishq na karta, tum pe na marta Haan main mar jaata Mere andar mujhse zyada tum Chalo aaj karo yeh vaada tum Alvida alvida kabhi na kehna Tum mere ho mere rehna Tum mere ho mere rehna Tum sath mera hardam dena Tum mere ho mere rehna"
259,Pehla Nasha Once Again,-,"Jubin Nautiyal, Palak Muchhal",Anshuman Mukherjee,-,"Chaahe tum kuchh na kaho Maine sun liya Ke sathi pyar ka mujhe chunn liya Chunn liya, maine sun liya haan Pehla nasha, pehla khumar Naya pyar hai, naya intezar Kar loon main kya apna haal Aye dil-e-bekarar Mere dil-e-bekarar tu hi bata Pehla nasha, pehla khumaar Udta hi phiroon Inn hawaon mein kahin Ya main jhool jaaun Inn ghataon mein kahin x (2) Ek kar doon aasman aur zameen Kaho yaaron kya karun, kya nahi Pehla nasha, pehla khumar Naya pyar hai, naya intezar Kar loon main kya apna haal Aye dil-e-bekarar Mere dil-e-bekarar tu hi bata Tu hi bata, tu hi bata Tu hi bata haan haan"
260,Boond Boond,Hate Story 4,"Jubin Nautiyal, Neeti Mohan",Arko,"Manoj Muntashir, Sanjay Gupta","Boond boond mein gumm sa hai Yeh savan bhi to tum sa hai Ek ajnabi ehsaas hai Kuchh hai naya, kuchh khaas hai Kasoor yeh sara mausam ka hai Boond boond mein gumm sa hai Yeh savan bhi to tum sa hai Chalne do manmarziyan Hone do gustakhiyan Phir kahan yeh fursatein Phir kahan nazdeekiyan Keh do tum bhi kahin Lapata to nahi Dil tumhara bhi kuchh Chahata to nahi Boond boond mein gumm sa hai Yeh savan bhi to tum sa hai Ek ajnabi ehsaas hai Kuchh hai naya, kuchh khaas hai Kasoor yeh sara mausam ka hai Boond boond mein gumm sa hai Yeh savan bhi to tum sa hai"
261,Ishtehaar,Welcome To New York,"Rahat Fateh Ali Khan, Dhvani Bhanushali",Shamir Tandon,Charanjeet Charan,"Idhar jaaun, udhar jaaun Kasmakash mein hu main kidhar jaaun Mujhko bata de mere maula Khatm agar ho gaya safar jaaun Dil mein chubhne laga hai khaar koyi Pad gayi hai kahin darar koyi Mujhko padh kar woh aise bhool gaya Jaise kajaz pe ishtehaar koyi Dil mein chubhne laga hai khaar koyi Pad gayi hai kahin darar koyi Mujhko padh kar woh aise bhool gaya Mujhko padh kar woh aise bhool gaya Jaise kajaz pe ishtehaar koyi Kaun samjhega rok rakha hai Maine palkon pe abshar koyi Chhod jaane de, karke ghuzra hai Mere khwaabon ko taar taar koyi Mujhko padh kar woh aise bhool gaya Jaise kajaz pe ishtehaar koyi Chahta hoon main par nahi rehti Mujhko meri khabar nahi rehti Main hu aise ki jashn se pehle Toot jata hai jaise haar koyi Mujhko padh kar woh aise bhool gaya Jaise kajaz pe ishtehaar koyi Dil mein chubhne laga hai khaar koyi Pad gayi hai kahin darar koyi Mujhko padh kar woh aise bhool gaya Jaise kajaz pe ishtehaar koyi"
262,Aashiq Banaya Aapne,Hate Story 4,"Himesh Reshammiya, Neha Kakkar",Tanishk Bagchi,Manoj Muntashir,"Mere bin sooni hain dil ki raahein Mere bin pyasi sabki nigahein x (2) Jo mile bole bhar ke woh aahein Suniye Aashiq banaya, aashiq banaya Aashiq banaya aapne x (2) Seene mein ghul ke Ishq dhadke to maza hai Hothon se padh le woh Jo hothon pe likha hai Meri nigahon mein tera Chehra rawa hai Gehre hain armaan Jaan-e-jaan pagal sama hai Aashiqui me haye kaisi Baaziyan hain kheli Jaan jaan keh ke toone Jaan meri le li Mere liye sabka dil hai awara Mere bin hona nahi hai ghuzara Mere sang jhoom le aake yaara Suniye Aashiq banaya, aashiq banaya Aashiq banaya aapne Deewane ruk ja tera humse samna hai Aakhon se chhoo le Chhoona hathon se mana hai Bechainiyon ka fasalon ka silsila hai Dard-e-jigar ka yeh sabab humko mila hai Khwaabon mein jo aaye jaaye Yaar hum wohi hain Hum kisi ko aasani se milte hi nahi hain Mere bin shaam hai benazara Mere bin bejiya har sitara Mere bin ishq hai besahara Suniye Aashiq banaya, aashiq banaya Aashiq banaya aapne x (2)"
263,Shuru Kar,Aiyaary,"Amit Mishra, Neha Bhasin, Rochak Kohli",Rochak Kohli,Manoj Muntashir,"Roshan dil ka resha resha Na ho jaaye to kehna Jaisa socha sab kuchh waisa Na ho jaaye to kehna x (2) Zyada nahi to auna pauna Ya phir ratti bhar Shuru shuru kar, shuru shuru kar Shuru shuru kuchh shuru to kar Jahan bhi hai tu wahin se yaara Koyi kahani shuru to kar x (2) Shuru kar Shuru shuru kar Shuru kar Tu jugnu hai par noor tera Raaton ko khal jayega Tu kya hai, teri keemat kya Tujhko bhi pata chal jaayega x (2) Jud ja kisi soch ke aage Ban ke ek sifar Shuru shuru kar, shuru shuru kar Shuru shuru kuchh shuru to kar Jahan bhi hai tu wahin se yaara Koyi kahani shuru to kar x (2) Yeh ambar ki unchai to Bas aankhon ka dhoka hai Jisko sab mushkil kehte hain Sach puchho to woh mauka hai Duniya vuniya badal jaayegi Pehle badal nazar Shuru shuru kar, shuru shuru kar Shuru shuru kuchh shuru to kar Jahan bhi hai tu wahin se yaara Koyi kahani shuru to kar x (2) Shuru kar Shuru shuru kar Shuru kar"
264,Maine Socha Ke Chura Loon,-,"Arijit Singh, Shreya Ghoshal",Jeet Gannguli,Rashmi Virag,Maine socha ke chura loon Tere honthon ki yeh nami Aur aise ke reh jaaye Is chori mein na kami Tere seene mein mera dil dhadke Aur raat ghuzar jaaye Meri awara si nazron ko Shayad ghar mil jaaye Maine socha ke chura loon Tere honthon ki yeh nami Reshmi zulfon ke jharne khol do Pankhudi se labon ki kuch bol do Gardan ki is surahi se Kuchh jaam chhalak jaaye Meri awara si nazron ko Shayad ghar mil jaye Maine socha ke chura loon Tere honthon ki yeh nami Kuchh kaho na abhi Hone do gunaah Jism ko tum mere Khud mein do panaah Koyi chor hawa do jismon se Ho kar na ghuzar jaaye Meri awara si nazron ko Shayad ghar mil jaye Maine socha ke chura loon Tere honthon ki yeh nami Aur aise ke reh jaaye Is chori mein na kami
265,Nainowale Ne,Padmaavat,-,Sanjay Leela Bhansali,Siddharth-Garima,"Nainowale ne ho Nainowale ne chheda mann ka pyala Chhalkayi madhu shala Mera chain rain nain apne sath le gaya Nainowale ne aaha, nainowale ne Nainowale ne chheda mann ka pyala Chhalkayi madhushala Mera chain rain nain apne sath le gaya Pag pag dolun re ho Pag pag dolun re Dag-mag si main chalti hoon Jagmag lau si jalti Tere nainon ki kaisi madira Tharr tharr kaanpun re tere teer se chhitti Chandan pe naag si lipti Main behosh tu nasha, aisi moh ki dasha Mera chain rain nain apne sath le gaya Nainowale ne aaha, nainowale ne Nainowale ne chheda mann ka pyala Chhalkayi madhu shala Mera chain rain nain apne sath le gaya"
266,Yaad Hai,Aiyaary,"Palak Mucchal, Ankit Tiwari",Ankit Tiwari,Manoj Muntashir,Teri meri yoon aankhon ne Milke jo khwaab bune Woh bade pyare the Teri meri poonh chale Milke ke do pairon tale Taare hi taare the Saari baatein mujhe yaad hain Woh chaand raatein mujhe yaad hain Mujhe bhi tere hathon ki Narmiyan yaad hain Woh masoom pyaari si Besharmiyan yaad hain Yaad hai sab mujhe yaad hai Saari baatein mujhe yaad hain Kandhe pe sar rakhke tere Soyi thi main kitni der Dhoondh rahi thi dhuan mujhko Khoyi thi main kitni der Kaisi thi woh befikri Ghuzri bhi na ghuzri Saari shaamein mujhe yaad hain Saari baatein mujhe yaad hain Jo hothon se na keh saka Harf woh bhi to hai Jo aankhon se na beh saka Dard woh bhi to hai Yaad hai sub mujhe yaad hai Saari baatein mujhe yaad hain
267,Subah Subah,-,"Arijit Singh, Prakriti Kakar, Amaal Mallik",Amaal Mallik,Kumaar,Pehle hi lamhe mein hai be-karari si Aage kya hoga nahin hai pata Teri taraf jaa raha hai mujhe chhod ke Jane kyu aaj dil ye mera Shuruate nayi Hain ye baatein nayi Ab raatein gayi aisa laga Subah subah tu jo mila Tu jo mila to mili hai Saason ko hawa x (2) Tu jo mila Marzi se teri meri dhadkanein Ab to karne lagi hain safar Toone dekha to jeene ki khaahish jagi Zindagi jaise teri nazar Tujhse hi Hai meri duniya sari Tujhse hi to Kar li hai dil ne yaari x (2) Tu hai to khud ka hai pata Subah subah tu jo mila Tu jo mila to mili hai Saason ko hawa Tu jo mila
268,Lae Dooba,Aiyaary,Sunidhi Chauhan,Rochak Kohli,Manoj Muntashir,"Mainu ishq tera lae dooba Haan ishq tera lae dooba x (2) Aisa kyun hota hai Tere jaane ke baad Lagta hai hathon mein Reh gaye tere hath Tu shaamil hai mere Hansne mein, rone mein Hai kya koyi kami Mere pagal hone mein Mainu ishq tera lae dooba Haan ishq tera lae dooba x (2) Har dafa wohi Jaadu hota hai tu jo mile Ho sab sanwar jaata hai Yara andar mere Ik lamhe mein kitni Yaadein ban jaati hain Main itna hansti hoon Aankhein bhar aati hain Mainu ishq tera lae dooba Haan ishq tera lae dooba x (2) Fursat hi kahan Aankhon ko hai meri aajkal Ho dekhne mein tujhe Saara din jaaye nikal Aur phir aahista se Jab chhu ke tu nikle Teri aanch mein dil mera Dheeme dheeme pighle Mainu ishq tera lae dooba Haan ishq tera lae dooba x (2)"
269,Pad Man Song,Padman,Mika Singh,Amit Trivedi,Kausar Munir,"Ho dhayen dhayen na goli maare Ho dhayen dhayen na entry maare Slow motion me haddi tode na Arey building se high jump na maare Neeche se dialogue na maare High speed mein naache gaaye na Ho na koi multi story bangla Na hai koi udankhatola Par super hero hai yeh pagla Arey wah re, wah re, wah re, wah re Wah re pad man, pad man, ho pad man Ho yeh hai mad mad mad mad Mad mad mad pad man Ho harqatein risky risky Fikar isse kiski kiski Hai yeh namoona number one ziddi Kahe jo koi kuchh bhi, kuchh bhi Rah chal sach ki, sach ki Lagta hai yeh qudrat ki galti Haan bhaad mein jaaye re angreji Nahin chahiye imported degree Made in India hai yeh jigri Arey wah re, wah re, wah re, wah re Wah re pad man, pad man, ho pad man Ho yeh hai mad mad mad mad Mad mad mad pad man"
270,Saiyan Re,Nirdosh,"Mohammed Irfan Ali, Palak Muchhal",Liyakat Ajmeri,Shakeel Azmi,"Lamha lamha mujhko Yeh ehsaas hone laga hai Dil ki zamin pe Koyi pyaar bone laga hai Ek uns darmiyan hai Halaat ishqiya hai Jo lab na keh sake woh Is dil ne keh diya hai Ajab hai khumari Ajab hai suroor Mujhe kuchh na kuchh to Hua hai zaroor Saiyan re, saiyan re Saiyan re, saiyan re Saiyan re, saiyan re, saiyan re x (2) Parindon se udd jaayein aa humsafar Ke hum pe hua chahaton ka asar x (2) Falak se bhi aage kahin hum chalein Bana lein wahin apni chahat ka ghar Tere sang beh raha hai Meri rooh ka shikara Jahaan jannate meri hain Tu hai wahi kinara Haan ajab hai khumari Ajab hai surur Mujhe kuchh na kuch to Hua hai zaroor Saiyan re, saiyan re Saiyan re, saiyan re Saiyan re, saiyan re, saiyan re x (2) Hai zaahir bhi tu, mere andar bhi tu Meri khaahishon ka samundar bhi tu Zubaan pe mere bas teri baatin hai Ke daman mein ab teri saughat hai Mere hath ki lakeerein Tere naam se judi hain Jab se mila mujhe tu Meri neend tak uddi hai Ajab hai khumari Ajab hai surur Mujhe kuchh na kuch to Hua hai zaroor Saiyan re, saiyan re Saiyan re, saiyan re Saiyan re, saiyan re, saiyan re x (2)"
271,Kuch Iss Tarah,1921,Arnab Dutta,Harish Sagane,Shakeel Azmi,"Kuch iss tarah, kuch iss tarah Ae raat thamm zara kuch iss tarah Kuch iss tarah, kuch iss tarah Ae raat thamm zara kuch iss tarah Do jism se ek jaan mein Dhal jayein hum zara kuch iss tarah Yeh jo chaand ik lakeer sa hai aasman par Yoon hi aankh mein meri rahe chamakta raat bhar Ae baadlon zara si tumse ilteja hai yeh Fanna na hon ummeed ke sitare doob kar Kuch iss tarah, kuch iss tarah Ae raat thamm zara kuch iss tarah Do jism se ek jaan mein Dhal jayein hum zara kuch iss tarah Alvida humko kahe muskura ke maut bhi Thodi si saasein chhupa le seene mein kahin Jee le aa ik raat mein umra bhar ki zindagi Koyi bhi pal reh na jaye jeene mein kahin Kuch iss tarah, kuch iss tarah Ae raat thamm zara kuch iss tarah Do jism se ek jaan mein Dhal jayein hum zara kuch iss tarah Rooh ki parwaz pe hain parinde ishq ke Humko chahat ki nazar se dekh lo aasman Aankh mein jo ahq hai Chaand ko bhi rashk hai Likh rahe hain pyar ki hum aisi dastaan Kuch iss tarah, kuch iss tarah Ae raat thamm zara kuch iss tarah Do jism se ek jaan mein Dhal jayein hum zara kuch iss tarah"
272,Aaj Se Teri,Padman,Arijit Singh,Amit Trivedi,Kausar Munir,Aaj se teri sari galiyan meri ho gayin Aaj se mera ghar tera ho gaya x (2) Aaj se meri sari khushiyan teri ho gayin Aaj se tera ghamm mera ho gaya Ho tere kandhe ka jo til hai Ho tere seene mein jo dil hai Ho teri bijli ka jo bill hai Aaj se mera ho gaya Ho mere khwaabon ka ambar Ho meri khushiyon ka samundar Ho mere pincode ka number Aaj se tera ho gaya Tere mathe Tere mathe ke kumkum ko Main tilak laga ke ghumuga Teri bali ki chun chun ko Main dil se laga ke jhumunga Meri chhoti si bhoolon Ko tu nadiya mein baha dena Tere jude ke phoolon ko Main apni shirt mein pehnoonga Bas mere liye tu maalpuye Kabhi kabhi bana dena Aaj se meri saari ratiyan teri ho gayin Aaj se tera din mera ho gaya Ho tere kandhe ka jo til hai Ho tere seene mein jo dil hai Ho teri bijli ka jo bill hai Aaj se mera ho gaya Ho mere khwaabon ka ambar Ho meri khushiyon ka samundar Ho mere pincode ka number Aaj se tera ho gaya Tu mange sardi mein amiya Jo mange garmi mein moongfaliya Tu barish mein agar keh de Ja mere liye tu dhoop khila To main sooraj To main sooraj ko jhatak doonga To main saawan ko gatak loonga To sare taron sang chanda Main teri godd mein rakh doonga Bas mere liye tu kabhi Khill ke muskura dena Aaj se meri saari sadiyan teri ho gayin Aaj se tera pal mera ho gaya Ho tere kandhe ka jo til hai Ho tere seene mein jo dil hai Ho teri bijli ka jo bill hai Aaj se mera ho gaya Ho mere khwaabon ka ambar Ho meri khushiyon ka samundar Ho mere pincode ka number Aaj se tera ho gaya
273,Tera Noor,Tiger Zinda Hai,Jyoti Nooran,Vishal Shekhar,Irshad Kamil,"Ho albari tera dum mujhko dikhlave cheez banaye Kyun mujhko mere jism se aage samajh na paaye Ho albali bolo aisa kyun hai mujhse Paida hua hai jo woh Har pal, har dam mujhko kamzor bataye Jo thi tere wajood pe duniya Baithi hai barood pe duniya Mool to sabko bhool gaya hai Jeeti hai ab sood pe duniya Saare kayade kitabein bhool gaye Mitti mein saare phooll gaye Mujhmein koyi baat nahi Koyi aukat nahi Tu hi to hai to shaan meri Tu hi hai guroor Shuru tera noor Tumse mere ilahi ka Jab hai mujhko suroor Ulfat ke bin kahan rihayi Baat kisi ko samajh na aayi Phir bhi sabko samajh baant ke Iss duniya mein har saudayi Zinda jazbaat nahi Haq mmein haalat nahi Manungi na haar mujhe hai Fateh ka fitoor Kyun kyun tera noor Tumse mere ilahi ka Jab hai mujhko suroor Kyun door tera noor"
274,Zinda Hai,Tiger Zinda Hai,"Sukhwinder Singh, Raftaar","Vishal Shekhar, Julius Packiam","Irshad Kamil, Raftaar","Sehra sahil jungle basti baag woh Shola shola jalta charag woh Ho parvat paani aandhi ambar aag woh Shola shola jalta charag woh Har kaali raat se ladna hai Woh jalta aur nikharta hai Aage hi aage badhta jab tak Zinda hai Bheetar toofan abhi zinda hai Jazbon mein jaan abhi zinda hai Saagar khamoshi mein bhi Saagar hi rehta hai Mehlon se kehta hai woh zinda hai Bheetar toofan abhi zinda hai Jazbon mein jaan abhi zinda hai Taar ke saaye mein hai woh chhupa Dushman na dekhega kabhi subah Kahan se aaya woh kahan hai jaata Na mujhko pata hai na tujhko pata Shatru ko karta nirastra Rees ab badalta woh jaise ho astra Jad se ukhadega, bheetar se maarega Uska irada hai Bramha ka astra Woh gyani hai, swabhimani wohi Tu jaanta uski kahani nawi Zinda hai zinda rahega woh jab tak ke Marne ki usne hi thaani nahi Hairat gussa chahat aur malal woh Ziddi ziddi ziddi khayal woh Hey jung bhi hai woh hamla bhi aur jaan lo Ziddi ziddi ziddi khayal woh Sholon ki aankh mmein rehta hai Har sachchi baat woh kehta hai Lava sa nason mein behta hai Woh jab tak zinda hai Bheetar toofan abhi zinda hai Jazbon mein jaan abhi zinda hai Saagar khamoshi mein bhi Saagar hi rehta hai Mehlon se kehta hai woh zinda hai Bheetar toofan abhi zinda hai Jazbon mein jaan abhi zinda hai"
275,Dil Diyan Gallan,Tiger Zinda Hai,Atif Aslam,Vishal Shekhar,Irshad Kamil,"Kachchi doriyon doriyon doriyon se Mainu tu bandh le Pakki yaariyon yaariyon yaariyon mein Aunde na fasle Eh narazgi kaagzi saari teri Mere sohneya sun lai meri dil diyan gallan Karange naal naal beh ke Akh naal akh nu mila ke Dil diyan gallan haye Karange roz roz beh ke Sachiyan mohabbtan nibha ke Sataye mainu kyun Dikhaye mainu kyun Aive jhoothi moothi Russ ke russa ke Dil diyan gallan haye Karange naal naal beh ke Akh naal akh nu mila ke Tainu lakkan ton chhupa ke rakhan Akhaan te saja ke Tu ae meri wafa rakh apna bana ke Main teri laiyan, teri laiyan yaara Na pavein kade dooriyan haye x (2) Main jeena haan tera aa Main jeena haan tera Tu jeena hai mera Dass laina ki nakhra dikha ke Dil diyan gallan Karange naal naal beh ke Akh naal akh nu mila ke Dil diyan gallan Raatan kaaliyan kaaliyan kaaliyan ne Mere dil saawle Mere haaniya haaniya haaniya je Lage tu na gale Mera aasman mausaman di na sune Koyi khaab na poora bane Dil diyan gallan Karange naal naal beh ke Akh naal akh nu mila ke Pata hai mainu kyun chhupa ke dekhe tu Mere naam se naam mila ke Dil diyan gallan Karange naal naal beh ke Akh naal akh nu mila ke Dil diyan gallan"
276,Swag Se Swagat,Tiger Zinda Hai,"Vishal Dadlani, Neha Bhasin",Vishal Shekhar,Irshad Kamil,"Listen close to what I gotta say Coz you know there aint other way Love is the message You are ready, lets go! Yeah, we can make it better Yeah, when we come together Yeah, all you got is me and Yeah, all I got is you Ishq se aage kuchh ni, kuchh ni, kuchh Ishq se behtar kuchh ni, kuchh ni, kuchh Ishq se oopar kuchh ni, kuchh ni, kuchh Ishq bina hum kuchh nai Ishq se oonacha kuchh ni, kuchh ni, kuchh Ishq se badhkar kuchh ni, kuchh ni, kuchh Ishq se achcha kuchh ni, kuchh ni, kuchh Ishq bina hum kuchh nai Chaahe jo aaye leke Dil mein ishq mohabbat Sabko gale lagana apne Culture ki hai aadat Swag se karenge sabka swagat Swag se karenge sabka swagat Ho milke chalta chal, masle karke hal Behtar hoga kal Yeh sabse kehte rehna Rehna unke dil, dil hi hai manzil Manzil pe tu mil Sab sabka hai yeh kehna, kehna Chaahe jo aaye leke Dil mein ishq ibaadat Sabko gale lagana apne Culture ki hai aadat You all to bring riff back Swag se karenge sabka swagat Swag se karenge sabka swagat"
277,Raina,Fukrey Returns,Shree D,"Shree D, Ishq Bector",Shree D,"Khoye khoye se rehna Khud ki talash mein Apni hi ghumshudi mein Anjani aas mein Yaadon ke saare khazane Chhupaun main kahan Nainon ke yeh moti saare Sajaun main kahan Man ke pinjre ka panchhi Uda doon main zara Jo dikha de roshni wali subah Haan raina re, raina re Kaali kaali raina Subah saloni ban ja Haye re haye raina re raina re Kaali kaali raina Subah saloni ban ja Tu jidhar, tu jahan ho salamat wahan Is dua ke siwa kuchh bhi maangun na Tu hi duniya meri, tu hi mera jahan Is dua ke siwa kuchh bhi maangun na Yaadon ke saare khazane Chhupaun main kahan Nainon ke yeh moti saare Sajaun main kahan Man ke pinjre ka panchhi Uda doon main zara Jo dikha de roshni wali subah Haan raina re, raina re Kaali kaali raina Subah saloni ban ja Haye re haye raina re raina re Kaali kaali raina Subah saloni ban ja Is kaali nadi ko paar karoon to Subah ka sahil paa jaaun Is lambi sadi ghuzaar doon to Apni manzil paa jaaun Man ke pinjre ka panchhi Uda doon main zara Jo dikha de roshni wali subah Raina re, raina re Kaali kaali raina Subah saloni ban ja Haye re haye raina re raina re Kaali kaali raina Subah saloni ban ja"
